Name 1,Name 2,Override Name,Address 1,City,State,Zip Code
Fairview University Oncology Pharmacy,,,424 Harvard St SE,Minneapolis,MN,55455
Fairview Oxboro Pharmacy,,,600 W 98th St Ste 220,Bloomington,MN,55420
Fairview Centennial Lakes Pharmacy,,,7373 France Ave S Ste 206,Edina,MN,55435
Fairview Home Medical Equipment,,,2200 University Ave W Ste 110,Saint Paul,MN,55114
Fairview Clinics - Edina,,,6545 France Ave S Ste 150,Edina,MN,55435
Fairview Cedar Ridge Pharmacy,,,15650 Cedar Ave Ste 1,Apple Valley,MN,55124
Northwestern Minnesota Juvenile Center,,,1231 NW 5th St,Bemidji,MN,56619
Highland Chateau,,,2319 7th St W,Saint Paul,MN,55116
Richfield Medical Group,,,6440 Nicollet Ave,Richfield,MN,55423
Fairview Compounding Pharmacy,,,711C Kasota Ave SE,Minneapolis,MN,55414
Belmont Nursing & Rehab Center,,,110 Belmont Rd,Madison,WI,53714
Lacrosse County Health Dept.,,,300 4th St N Fl 2,La Crosse,WI,54601
Fairview IDS Pharmacy,,,420 Delaware St SE,Minneapolis,MN,55455
Fairview Center for Women - Edina,,,6525 France Ave S Ste 100,Edina,MN,55435
Fairview Center for Women - Edina,,Minnesota Gynecology & Surgery,7450 France Ave S Ste 240,Minneapolis,MN,55435
UMMC Southdale Cancer Clinic,,,6363 France Ave S,Edina,MN,55435
Traverse Care Center,,,303 7th St S,Wheaton,MN,56296
Fairview University Village Pharmacy,,,2545 University Ave SE,Minneapolis,MN,55414
Fairview Pharmacy Smiley's Clinic,,,2020 E 28th St,Minneapolis,MN,55407
Fairview Masonic Day Pharmacy,,,424 Harvard St SE Ste 300,Minneapolis,MN,55455
Crutchfield Dermatology,,,1185 Town Centre Dr Ste 101,Eagan,MN,55123
Minnesota Heart Clinic,,,6405 France Ave S Ste 200,Edina,MN,55435
Urologic Physicians - Burnsville,,,303 E Nicollet Blvd Ste 310,Burnsville,MN,55337
Urologic Physicians - Burnsville,,,1515 Saint Francis Ave Ste 250,Shakopee,MN,55379
Surgical Consultants PA,,,6405 France Ave S Ste W440,Edina,MN,55435
HealthEast St. John's Hospital,,,1575 Beam Ave,Maplewood,MN,55109
HealthEast Woodwinds Health Campus,,,1925 Woodwinds Dr,Woodbury,MN,55125
Fairview Pharmacy Maple Grove,,,14500 99th Ave N Ste 1A029,Maple Grove,MN,55369
Fairview Oncology Pharmacy Maple Grove,,,14500 99th Ave N Ste 0A030,Maple Grove,MN,55369
Fairview Clinics - Rogers,,,14040 Northdale Blvd,Rogers,MN,55374
Fairview Clinics - Bass Lake,,,6320 Wedgwood Rd N,Maple Grove,MN,55311
University of Minnesota Health Maple Grove Clinics,,,14500 99th Ave N,Maple Grove,MN,55369
Fairview Clinics - Lakeville,,,18580 Joplin Ave,Lakeville,MN,55044
LB Homes,Lakeland Homecare,,805 E Channing Ave,Fergus Falls,MN,56537
Fairview Andover Pharmacy,,,13819 Hanson Blvd NW Ste 100,Andover,MN,55304
Fairview Maple Grove Surgery Center,,,14500 99th Ave N,Maple Grove,MN,55369
Fairview Maple Grove Surgery Center,,Maple Grove Ambulatory Care Center,14500 99th Ave N,Maple Grove,MN,55369
Institute for Athletic Medicine - Apple Valley,,,15650 Cedar Ave Ste 160,Apple Valley,MN,55124
Institute for Athletic Medicine,,,701 25th Ave S Ste 500,Minneapolis,MN,55454
Institute for Athletic Medicine,Brooklyn Park Edinbrook,,8559 Edinbrook Pkwy Ste 104,Brooklyn Park,MN,55443
Institute for Athletic Medicine - Bloomington,,,600 W 98th St Ste 390,Bloomington,MN,55420
Institute for Athletic Medicine,Blaine National Sports Center,,1750 105th Ave NE,Blaine,MN,55449
Institute for Athletic Medicine - Eden Prairie,,,775 Prairie Center Dr Ste 250,Eden Prairie,MN,55344
Institute for Athletic Medicine - Eden Prairie,,,800 Prairie Center Dr Ste 230,Eden Prairie,MN,55344
Institute for Athletic Medicine,Eagan & Eagan Chiropractic,,1440 Duckwood Dr Ste 300,Eagan,MN,55122
Institute for Athletic Medicine - Burnsville,,,675 E Nicollet Blvd,Burnsville,MN,55337
Fairview Clinics - Fairview Sports&Orthopedic Care,Burnsville,,501 E Nicollet Blvd Ste 100,Burnsville,MN,55337
Institute for Athletic Medicine - Elk River,,,800 Freeport Ave NW Ste 200,Elk River,MN,55330
Institute for Athletic Medicine - Edina,,Iam Braemar,7201 Washington Ave S,Edina,MN,55439
Institute for Athletic Medicine - Edina,,Iam Edina,7110 France Ave S,Edina,MN,55435
Institute for Athletic Medicine - Edina,,,6363 France Ave S Ste 100,Edina,MN,55435
Institute for Athletic Medicine - Highland Park,,,2155 Ford Pkwy Ste A,Saint Paul,MN,55116
Institute for Athletic Medicine,Fairview Sports and Ortho,,14040 Northdale Blvd,Rogers,MN,55374
Institute for Athletic Medicine,Maple Grove Arbor Lakes,,12000 Elm Creek Blvd N Ste 120,Maple Grove,MN,55369
Institute for Athletic Medicine - Lakeville,,,18592 Joplin Ave,Lakeville,MN,55044
Institute for Athletic Medicine - Maplewood,,,1650 Beam Ave Ste 101,Maplewood,MN,55109
Institute for Athletic Medicine - Maple Grove,,,14500 99th Ave N Ste 1-210,Maple Grove,MN,55369
Institute for Athletic Medicine,Occupational Rehab,,650 Taft St NE Ste 400,Minneapolis,MN,55413
Institute for Athletic Medicine - Minnetonka,,,13560 Wayzata Blvd,Minnetonka,MN,55305
Institute for Athletic Medicine - Roseville,,,1955 W County Rd  Ste B2,Roseville,MN,55113
Institute for athletic Medicine - Robbinsdale,and Robbinsdale Chiropractic,,4080 W Broadway Ave Ste 300,Robbinsdale,MN,55422
Institute for Athletic Medicine - Plymouth,,,9750 Rockford Rd Ste 200,Plymouth,MN,55442
Institute for Athletic Medicine,Uptown & Uptown Chiropractic,,3033 Excelsior Blvd Ste 225,Minneapolis,MN,55416
Institute for Athletic Medicine - St Anthony,,,2600 39th Ave NE Ste 220,Minneapolis,MN,55421
Institute for Athletic Medicine - Woodbury,,,7616 Currell Blvd Ste 270,Saint Paul,MN,55125
Institute for Athletic Medicine - West Health,,,2805 Campus Dr Ste 115,Plymouth,MN,55441
Fariview Hand Centers Edina,,,6363 France Ave S Ste 105,Edina,MN,55435
Hand Centers  Elk River,,,800 Freeport Ave NW,Elk River,MN,55330
Fariview Hand Centers Burnsville,,,675 E Nicollet Blvd Ste 225,Burnsville,MN,55337
Fairview Hand Centers University &,University Therapy Center,,2450 Riverside Ave Ste R102,Minneapolis,MN,55454
Fairview Hand Centers Minnetonka,,,12993 Ridgedale Dr,Minnetonka,MN,55305
Fairview Hand Centers Riverside,,,2450 Riverside Ave,Minneapolis,MN,55454
Fairview Clinics - Blaine,,,10961 Club West Pkwy Ste 100,Blaine,MN,55449
Fairview Clinics - Andover,,,13819 Hanson Blvd NW,Andover,MN,55304
Fairview Clinics - Brooklyn Park,,,10000 Zane Ave N,Brooklyn Park,MN,55443
Fairview Clinics - Fridley,,,6401 University Ave NE Ste 100,Fridley,MN,55432
Fairview Clinics - Fridley,,Fairview Fridley Clinic,6341 University Ave NE,Fridley,MN,55432
Health Dimensions Group,,,12900 Whitewater Dr Ste 201,Minnetonka,MN,55343
Frazee Care Center,,,219 W Maple Ave,Frazee,MN,56544
Luthern Homes of Muscatine,,,2421 Lutheran Dr,Muscatine,IA,52761
Marycrest Assisted Living,,,2850 Columbine Rd Ofc,Denver,CO,80221
Fairview New Brighton Pharmacy,,,1151 Silver Lake Rd NW,New Brighton,MN,55112
Fairview Wholesale Pharmacy,,,711 Kasota Ave SE,Minneapolis,MN,55414
Select Senior Living of Coon Rapids,,,11350 Martin St NW,Coon Rapids,MN,55433
Surgical Consultants - Business Office,,,4570 W 77th St Ste 235,Edina,MN,55435
Surgical Consultants PA - Burnsville Clinic,,,303 E Nicollet Blvd Ste 300,Burnsville,MN,55337
Surgical Consultants PA - VeinSolutions,,,6525 France Ave S Ste 275,Edina,MN,55435
Gramercy Club at Burnhaven Drive,,,15001 Burnhaven Dr,Burnsville,MN,55306
Institute for Athletic Medicine - Rosemount,,,15075 Cimarron Ave Ste 20,Rosemount,MN,55068
Fairview Clinics - Rosemount,,,15075 Cimarron Ave Ste 10,Rosemount,MN,55068
Fairview Clinics - University Village Childrens,,Fairview Clinic University Village,2525 University Ave SE,Minneapolis,MN,55414
Fairview Clinics - University Village Childrens,,,2535 University Ave SE,Minneapolis,MN,55414
Hilltop Healthcare,,,2501 Rice Lake Rd,Duluth,MN,55811
Fairview Clinics - Pond Center,,,9600 3rd Ave S,Minneapolis,MN,55420
Fairview Pharmacy - Blaine,,,10961 Club West Pkwy Ste 100,Blaine,MN,55449
The Carlyle Care Center,,,206 S Post St,Spokane,WA,99201
Fairview Infusion Services,,,909 Fulton St SE,Minneapolis,MN,55455
Fairview Orthotics and Prosthetics - Minneapolis,,,606 24th Ave S Ste 301,Minneapolis,MN,55454
Fairview Orthotics and Prosthetics - Blaine,,,10961 Club West Pkwy Ste 200,Minneapolis,MN,55449
Fairview Orthotics and Prosthetics - St. Paul,,,2200 University Ave W Ste 114,Saint Paul,MN,55114
Fairview Orthotics and Prosthetics - Burnsville,,,501 E Nicollet Blvd Ste LL50,Burnsville,MN,55337
Fairview Orthotics and Prosthetics - Edina,,,6363 France Ave S Ste 110,Edina,MN,55435
Fairview Pharmacy Red Wing,,,701 Hewitt Blvd,Red Wing,MN,55066
Fairview Pharmacy Prior Lake,,,4151 Willowwood St SE,Prior Lake,MN,55372
Faribault Senior Living,,,843 Faribault Rd,Faribault,MN,55021
Fairview Pharmacy Residential Services,,,711 Kasota Ave SE Ste D,Minneapolis,MN,55414
Little Falls Care Center,,,1200 1st Ave NE,Little Falls,MN,56345
Bridgeway Senior Housing,,,103 12th St NE,Little Falls,MN,56345
Summit Hill Senior Living,,,1824 Old Hudson Rd,Saint Paul,MN,55119
Fairview Clinics - Bloomington Lake Minneapolis,,,1527 E Lake St Ste 150,Minneapolis,MN,55407
Fairview Clinics - Chisago Lakes,,,11725 Stinson Ave,Chisago City,MN,55013
Fairview Clinics - Burnsville,,,303 E Nicollet Blvd Ste 160,Burnsville,MN,55337
Fairview Southdale Oncology Pharmacy,,,6363 France Ave S,Minneapolis,MN,55435
Fairview at Southern Oregon University,,,1250 Siskiyou Blvd,Ashland,OR,97520
Heritage Lakeside,,,1016 Lakeshore Dr,Rice Lake,WI,54868
Wisconsin Vets Home at Chippewa Falls,,,2175 E Park Ave,Chippewa Falls,WI,54729
Fairview Pharmacy North Branch,,,5366 386th St NE,North Branch,MN,55056
Fairview Medical Group,,,451 Lexington Pkwy N,Saint Paul,MN,55104
Fairview Clinics - Chisago Lakes Sleep Center,,,11725 Stinson Ave,Chisago City,MN,55013
Fairview Clinics - Fairview Express Care Princeton,,,1100 7th Ave S,Princeton,MN,55371
Fairview Clinics - Primary Care Clinic,,,2450 Riverside Ave Ste F-105,Minneapolis,MN,55454
Fairview Clinics - Fairview Express Care Elk River,,,19425 Evans St NW,Elk River,MN,55330
Minnesota Heart Clinic - Burnsville,,,201 E Nicollet Blvd,Burnsville,MN,55337
Fairview Hand Center - Blaine,,,10961 Club West Pkwy Ste 200,Minneapolis,MN,55449
Fairview Clinics - Center for Bladder,,Fairview Ridges Clinic,305 E Nicollet Blvd Ste 372,Burnsville,MN,55337
Fairview Clinics - Center for Bladder,,,501 E Nicollet Blvd Ste 120,Burnsville,MN,55337
Fairview Physical Therapy - Brooklyn Park,,,10000 Zane Ave N,Minneapolis,MN,55443
Fairview Clinics - Burnsville Pain,,,14101 Fairview Dr Ste 300,Burnsville,MN,55337
Fairview Clinics - Brooklyn Park Sleep Center,,,10000 Zane Ave N Ste 202,Minneapolis,MN,55443
Fairview Clinics - Maple Grove,,,14500 99th Ave N,Maple Grove,MN,55369
Fairview Clinics - Pain Management Blaine,,,10961 Club West Pkwy,Minneapolis,MN,55449
Fairview Clinics - Fairview Sports&Orthopedic Care,,,775 Prairie Center Dr Ste 250,Eden Prairie,MN,55344
Fairview Hand Center - Eden Prairie,,,775 Prairie Center Dr Ste 250,Eden Prairie,MN,55344
Fairview Pharmacy Rosemount,,,15075 Cimarron Ave Ste 3,Rosemount,MN,55068
Fairview Pharmacy Fridley,,,6341 University Ave NE Ste 101,Minneapolis,MN,55432
Molecular and Cellular Lab - UMMC,,,1900 Fitch Ave,Saint Paul,MN,55108
McHenry Villa,,,3516 Waukegan Rd,McHenry,IL,60050
Fairview Pharmacy Burnsville SCC,,,14101 Fairview Dr Ste 100,Burnsville,MN,55337
LB Broen Home,,,824 S Sheridan St,Fergus Falls,MN,56537
Fairview Pharmacy Ridges Cancer Clinic,,,14101 Fairview Dr Ste 200,Burnsville,MN,55337
Fairview Pharmacy Chisago City,,,11725 Stinson Ave,Chisago City,MN,55013
Applewood Pointe Southtown,,,8100 Russell Ave S,Minneapolis,MN,55431
Ridges Medical Office Building,,,14101 Fairview Dr,Burnsville,MN,55337
Elyian Senior Homes of Chanhassen,,,1850 Pioneer Trl,Chanhassen,MN,55317
University of Minnesota Health,Clinics and Surgery Center,,909 Fulton S SE,Minneapolis,MN,55455
RM Management LLC,,,820 Lilac Dr N Ste 170,Minneapolis,MN,55422
"Maple Hill Senior Living, LLC",,,3030 Southlawn Dr,Saint Paul,MN,55109
Meadow Ridge Senior Living LLC,,,7475 Country Club Dr,Minneapolis,MN,55427
"Valley Care & Rehab, LLC",,,600 5th St SE,Barnesville,MN,56514
Minnesota Institute for Pain Management,,Minnesota Institute for Pain Management,10532 Hawthorn Trl,Woodbury,MN,55129
Minnesota Institute for Pain Management,,,2780 Snelling Ave N Ste 304,Saint Paul,MN,55113
Healthcare Purchasing Connection,,Brothers CafÎ˜ + Bistro,901 Willmar Ave SE,Willmar,MN,56201
Healthcare Purchasing Connection,,,7505 Metro Blvd Ste 100,Edina,MN,55439
Fairview Purchasing Network,,,2450 Riverside Ave,Minneapolis,MN,55454
Park River Estates Care Center,,,9899 Avocet St NW,Coon Rapids,MN,55433
M Health Ambulatory Surgery Center,,,909 Fulton St SE Fl 5,Minneapolis,MN,55455
M Health CSC Outpatient Clinics,,,909 Fulton St SE,Minneapolis,MN,55455
Grand Itasca Clinic & Hospital,,,1601 Golf Course Rd,Grand Rapids,MN,55744
Grand Itasca Clinic & Hospital - Pro Building,,,111 SE 3rd St,Grand Rapids,MN,55744
Grand Itasca Clinic & Hospital - YMCA Clinic,,,400 River Rd,Grand Rapids,MN,55744
Grand Itasca Retail Pharmacy,,,1601 Golf Course Rd,Grand Rapids,MN,55744
Fairview Pediatric Rehabilitation - Monticello,,,305 Cedar St Ste 102,Monticello,MN,55362
Fairview Pediatric Rehabilitation - New Hope,,,9220 Bass Lake Rd Ste 260,New Hope,MN,55428
Quinlan Home,,,391 Pleasant Ave,Saint Paul,MN,55102
Urologic Physicians - Edina,,,6363 France Ave S Ste 500,Minneapolis,MN,55435
Fairview Clinics - Primary Care Skin,,,775 Prairie Center Dr Ste 210,Eden Prairie,MN,55344
Institute for Athletic Medicine - Golden Valley,,,8301 Golden Valley Rd,Minneapolis,MN,55427
Institute for Athletic Medicine - Blaine,,,10961 Club West Pkwy Ste 200,Blaine,MN,55449
Institute for Athletic Medicine-Brooklyn Park Zane,,,10000 Zane Ave N,Brooklyn Park,MN,55443
Institute for Athletic Medicine - Fridley,,,6341 University Ave NE Ste 104,Fridley,MN,55432
Institute for Athletic Medicine-Minneapolis Fulton,,,909 Fulton St SE Fl 5,Minneapolis,MN,55455
Institute for Athletic Medicine,Minneapolis University Village,,2525 University Ave SE,Minneapolis,MN,55414
Institute for Athletic Medicine-Plymouth City Ctr,Plymouth City Center Medical Bldg,,15655 37th Ave N Ste 250,Minneapolis,MN,55446
Institute for Athletic Medicine,University Orthopaedic Therapy,,2512 S 7th St Ste R102,Minneapolis,MN,55454
Fairview Clinics - Forest Lake ISD 831,,,6101 Scandia Trl N Rm 411,Forest Lake,MN,55025
Fairview Physical Therapy - Blaine,,,10961 Club West Pkwy Ste 200,Blaine,MN,55449
Fairview Clinic - Weight Loss Clinic Edina,,,6405 France Ave S Ste W440,Edina,MN,55435
Fairview Clinic,Pain Management Center Riverside,,606 24th Ave S,Minneapolis,MN,55454
Fairview Clinics - Sleep Center Edina,,,6401 France Ave S,Edina,MN,55435
Fairview Clinics - Sleep Center Burnsville,,,14101 Fairview Dr Ste 300,Burnsville,MN,55337
Fairview Clinics - Sleep Center Princeton,,,911 Northland Dr,Princeton,MN,55371
Surgical Consultants PA - VeinSolutions,,,12680 Arbor Lakes Pkwy N,Maple Grove,MN,55369
Fairview Clinics-North Hennepin Community College,,,7411 85th Ave N,Minneapolis,MN,55445
"IntegraDose Compounding Services, LLC",,,719 Kasota Ave SE,Minneapolis,MN,55414
Dimensions Home Health Care,,,202 S Greenleaf St Ste C,Gurnee,IL,60031
The Hotel Landing,,,925 Lake St E,Wayzata,MN,55391
Nine Twenty Five,,,925 Lake St E,Wayzata,MN,55391
"PreferredOne Administrative Services, Inc.",,,6105 Golden Hills Dr,Minneapolis,MN,55416
Shepherd of Grace,,,11175 27th Ave SE,Becker,MN,55308
HealthEast Pharmacy - St Paul,,,17 Exchange St W Ste 150,Saint Paul,MN,55102
HealthEast Pharmacy - Maplewood,,,2945 Hazelwood St Ste 105,Saint Paul,MN,55109
HealthEast Vadnais Heights Clinic,,,1055 Centerville Cir,Saint Paul,MN,55127
HealthEast Oakdale Clinic,,,1099 Helmo Ave N Ste 110,Saint Paul,MN,55128
HealthEast Midway Clinic,,,1390 University Ave W,Saint Paul,MN,55104
HealthEast Hugo Clinic,,,14688 Everton Ave N,Hugo,MN,55038
HealthEast Optimum Rehabilitation - Maplewood,,,1570 Beam Ave Ste 200,Maplewood,MN,55109
HealthEast Optimum Rehabilitation -  Midway,,,1690 University Ave W Ste 430,Saint Paul,MN,55104
HealthEast Midway Campus,,,1700 University Ave W,Saint Paul,MN,55104
HealthEast Spine Clinic,,,1747 Beam Ave,Maplewood,MN,55109
HealthEast Optimum Rehabilitation - Woodbury,,,1825 Woodwinds Dr Ste 100B,Woodbury,MN,55125
HealthEast Woodbury Clinic,,,1875 Woodwinds Dr,Saint Paul,MN,55125
HealthEast Roselawn Clinic,,,1983 Sloan Pl Ste 1,Saint Paul,MN,55117
HealthEast Stillwater Clinic,,,2900 Curve Crest Blvd W,Stillwater,MN,55082
