Name 1,Name 2,Override Name,Address 1,City,State,Zip Code
HealthEast Maplewood Clinic,,,2945 Hazelwood St Ste 100,Maplewood,MN,55109
HealthEast Maplewood Clinic ENT,,,2945 Hazelwood St Ste 200,Maplewood,MN,55109
HealthEast Maplewood Infectious Disease Clinic,,,2945 Hazelwood St Ste 200,Maplewood,MN,55109
HealthEast Vascular Center,,,2945 Hazelwood St Ste 200,Maplewood,MN,55109
HealthEast Maplewood Audiology,,,2945 Hazelwood St Ste 200,Maplewood,MN,55109
HealthEast Maplewood Specialty SRVC,,,2945 Hazelwood St Ste 200,Maplewood,MN,55109
HealthEast Maplewood Clinic Podiatry,,,2945 Hazelwood St Ste 200,Maplewood,MN,55109
HealthEast Maplewood Allergy Care,,,2945 Hazelwood St Ste 200,Maplewood,MN,55109
HealthEast Bariatric Center,,,2945 Hazelwood St Ste 200,Maplewood,MN,55109
HealthEast Maplewood Endocrinology,,,2945 Hazelwood St Ste 200,Maplewood,MN,55109
HealthEast Maplewood Diabetes Care,,,2945 Hazelwood St Ste 200,Saint Paul,MN,55109
HealthEast St Joseph's Heart Care,,,45 10th St W,Saint Paul,MN,55102
HealthEast Pillars Hospice Home,,,6025 Upper 35th St N,Oakdale,MN,55128
HealthEast Cottage Grove Clinic,,,6936 Pine Arbor Dr S Ste 100,Cottage Grove,MN,55016
Nikola Vuljaj,M Health Fairview EMS (St. Paul),,799 Reaney Ave,Saint Paul,MN,55106
HealthEast Rice Street Clinic,,,980 Rice St,Saint Paul,MN,55117
HealthEast Tamarack Clinic,,,9900 Tamarack Rd,Woodbury,MN,55125
HealthEast Vascular Center - St Paul,,,17 Exchange St W Ste 600,Saint Paul,MN,55102
HealthEast St. Joseph's Hospital,,,45 10th St W,Saint Paul,MN,55102
HealthEast St Joseph's Hospital Pharmacy,,,45 10th St W Rm G400,Saint Paul,MN,55102
HealthEast Bethesda Hospital,,,559 Capitol Blvd,Saint Paul,MN,55103
HealthEast Care System,,,559 Capitol Blvd Ste 6S,Saint Paul,MN,55103
Fairview Pharmacy CBCD,,,2512 S 7th St Ste 105,Minneapolis,MN,55454
Fairview Home Infusion Duluth,,,1527 London Rd,Duluth,MN,55812
HealthEast Vascular Center - Maplewood,,,1570 Beam Ave Ste 300,Maplewood,MN,55109
HealtHeast Maplewood Peds For Health,,,2945 Hazelwood St Ste 100,Maplewood,MN,55109
HealthEast Maplewood Womens Care Midwives,,,2945 Hazelwood St Ste 100,Maplewood,MN,55109
Healtheast Midway Surgery Center,,,1700 University Ave W,Saint Paul,MN,55104
HealthEast Optimum Rehabilitation - Oakdale,,,1099 Helmo Ave N Ste 110,Saint Paul,MN,55128
HealthEast Neurological Associates of St Paul,,,1650 Beam Ave Ste 200,Saint Paul,MN,55109
HealthEast Neurological Associates of St Paul,,,17 Exchange St W Ste 850,Saint Paul,MN,55102
HealthEast Vadnais Heights Clinic,,,480 Highway 96 E,Vadnais Heights,MN,55127
HealthEast Medical Imaging,,,1723A Beam Ave,Maplewood,MN,55109
HealthEast Pain Center,,,1600 Saint Johns Blvd Ste 101,Maplewood,MN,55109
HealthEast Care Connection,,,710 19th Ave N,South Saint Paul,MN,55075
Elk River Senior Living,,,11124 183rd Cir NW,Elk River,MN,55330
MN Signature Care,,,5738 Hwy 27,Little Falls,MN,56345
Hawley Senior Living,,,923 5th St,Hawley,MN,56549
Golden Manor Corporation,,,1102 4th Ave NE,Barnesville,MN,56514
Golden Manor Corporation,,,1159 Garnet Blvd,Detroit Lakes,MN,56501
Golden Manor Corporation,,,1165 Garnet Blvd,Detroit Lakes,MN,56501
Patriot Assisted Living,,,124 Oriole Dr,Fergus Falls,MN,56537
Sunrise View Assisted Living,,,603 Louisiana Ave,Adrian,MN,56110
HealthEast Bethesda Hospital Pharmacy,,,559 Capitol Blvd,Saint Paul,MN,55103
HealthEast St Joseph's Hospital Pharmacy,,,45 10th St W,Saint Paul,MN,55102
HealthEast St John's Hospital Pharmacy,,,1575 Beam Ave,Maplewood,MN,55109
HealthEast Woodwinds Hospital Pharmacy,,,1925 Woodwinds Dr,Woodbury,MN,55125
Chemical Dependency Hospital Pharmacy,HealthEast St Joseph's,,45 10th St W,Saint Paul,MN,55102
Chemical Dependency Hospital Pharmacy,HealthEast St Joseph's,"FAIRVIEW ST JOHNS HOSPITAL, Clinic - Int",1655 Beam Ave Ste 111,Saint Paul,MN,55109
HealthEast Clinics St Joseph's Hospital Pharmacy,,,45 10th St W,Saint Paul,MN,55102
Shiloh Assisted Living,,,5834 Country Care Ln,Pequot Lakes,MN,56472
Fairview Clinic - Mall of America,,,332 E Broadway Fl 3,Minneapolis,MN,55425
Vibrant Health - River Falls,,,1687 E Division St,River Falls,WI,54022
Vibrant Health - Ellsworth,,,144 S Plum St,Ellsworth,WI,54011
Vibrant Health - Spring Valley,,,130 McKay Ave,Spring Valley,WI,54767
Rowley Masonic Community,,,1300 28th St,Perry,IA,50220
Caraton Commons,,,1550 Arcadian Ln,De Pere,WI,54115
Caraton Commons Green Bay,,,653 Woodside Rd,Green Bay,WI,54311
Golden Horizons of Aitkin,,,518 7th Ave NE,Aitkin,MN,56431
Golden Horizons of Crosslake,,,13631 E Shore Rd,Crosslake,MN,56442
Golden Horizons of Ida Grove,,,800 Byron Godbersen Dr,Ida Grove,IA,51445
Golden Horizons of Sandstone,,,1109 Lundorff Dr,Sandstone,MN,55072
Golden Horizons of Worthington,,,1790 Collegeway,Worthington,MN,56187
Park Lane Estates,,,410 Park Ln SE,Preston,MN,55965
LB Homes,,,805 E Channing Ave,Fergus Falls,MN,56537
Wilson Tool International,,,12912 Farnham Ave N,Saint Paul,MN,55110
LB Alcott Manor Assisted Living,,,418 E Alcott Ave,Fergus Falls,MN,56537
LB Woodland Lodge Assisted Living,,,394 Woodland Dr,Fergus Falls,MN,56537
LB Sheridan House,,,808 S Sheridan St,Fergus Falls,MN,56537
LB Home Care,,,805 E Channing Ave,Fergus Falls,MN,56537
Vermilion Senior Living,,,1232 Birch St N,Tower,MN,55790
Twin Valley Living Center,,,208 Oppegard Ave NW,Twin Valley,MN,56584
M Health Fairview River Falls Clinic,,,319 S Main St,River Falls,WI,54022
Fairview Outpatient Rehab,,,150 Cobblestone Ln,Burnsville,MN,55337
Twins Medical Inc,,,761 Milton St N,Saint Paul,MN,55104
Fairview Healtheast MED Research INST MS Center,,,1747 Beam Ave Ste 100,Saint Paul,MN,55109
Fairview Health Services,,,323 Stinson Blvd,Minneapolis,MN,55413
Nikola Vuljaj,M Health Fairview EMS (Forest Lake),,21350 Forest Blvd N,Forest Lake,MN,55025
Masonic Institute for the Developing Brain,MIDB,,2025 E River Pkwy,Minneapolis,MN,55414
Nikola Vuljaj,M Health Fairview EMS (Eagan),,4390 Pilot Knob Rd,Eagan,MN,55122
Fairview Health Services (FHS),,,2450 Riverside Ave Ste 1,Minneapolis,MN,55454
M Health Fairview Crosstown Clinic,,,6545 France Ave S Ste 450,Minneapolis,MN,55435
Masonic Institute for the Developing Brain,MIDB,,2025 E River Pkwy,Minneapolis,MN,55414
"Central Minnesota Diagnostic, Inc.",,,PO Box 158,Milaca,MN,56353
"Central Minnesota Diagnostic, Inc.",,,150 10th St NW,Milaca,MN,56353
"Central Minnesota Diagnostic, Inc.",,CMDI St. Gabriel's Hospital,815 2nd St SE,Little Falls,MN,56345
Fairview Northland Regional Hospital,,,911 Northland Dr,Princeton,MN,55371
Fairview Ridges Hospital,,,201 E Nicollet Blvd,Burnsville,MN,55337
University of Minnesota Medical Center - West,Fairview Riverside Campus,UMMC West Loading Dock,2414 S 7th St,Minneapolis,MN,55454
University of Minnesota Medical Center - West,Fairview Riverside Campus,,2450 Riverside Ave,Minneapolis,MN,55454
University of Minnesota Medical Center - West,Fairview Riverside Campus,,2312 S 6th St Rm MB,Minneapolis,MN,55454
University of Minnesota Medical Center - West,Fairview Riverside Campus,Fairview MS Achievement Center,2200 University Ave W Ste 140,Saint Paul,MN,55114
Fairview Southdale Hospital,,,6401 France Ave S Ste 275,Edina,MN,55435
Fairview Southdale Hospital,,,6401 France Ave S,Minneapolis,MN,55435
Fairview Southdale Hospital,,Fairview Southdale UMP Heart Imaging,6405 France Ave S Ste W300,Edina,MN,55435
Fairview Health Services,,,PO Box 59318,Minneapolis,MN,55459
Fairview Health Services,,Fairview Clinics,425 E River Pkwy,Minneapolis,MN,55455
Fairview Health Services,,Fairview Diamond Lake Clinic,5346 Lyndale Ave S,Minneapolis,MN,55419
Fairview Health Services,,Fairview Hospital - Fairview University,425 E River Pkwy,Minneapolis,MN,55455
Fairview Health Services,,Fairview Lakeville Clinic,10450 185th St W Ste 300,Lakeville,MN,55044
Fairview Health Services,,Fairview Noland Clinic-Zimmerman,12980 Fremont Ave,Zimmerman,MN,55398
Fairview Health Services,,Fairview Southwest Clinic,6121 Wooddale Ave,Edina,MN,55424
Fairview Health Services,,Fairview St Michael Clinic,703 Thielen Dr,Saint Michael,MN,55376
Fairview Health Services,,Fairview UMC Bmt Clinic,516 Delaware St SE,Minneapolis,MN,55455
Fairview Health Services,,Fairview UMC Emergency Room,500 Harvard St SE,Minneapolis,MN,55455
Fairview Health Services,,Fairview UMC Gmt Clilnic,516 Delaware St SE,Minneapolis,MN,55455
Fairview Health Services,,Fairview UMC Opc Opthalmology,516 Delaware St SE,Minneapolis,MN,55455
Fairview Health Services,,Fairview UMC Opc Ophthalmology,516 Delaware St SE,Minneapolis,MN,55455
Fairview Health Services,,Fairview UMC Primary/Clinic,516 Delaware St SE,Minneapolis,MN,55455
Fairview Health Services,,Fairview University Medical Center,425 E River Pkwy,Minneapolis,MN,55455
Fairview Health Services,,Fairview Westridge Clinic,12450 Wayzata Blvd Ste 123,Minnetonka,MN,55305
Fairview Health Services,,Fairview-UMC Oncology Clinic,425 E River Pkwy,Minneapolis,MN,55455
Fairview Health Services,,Fairview Ridges Hospital,14101 Fairview Dr Ste 140,Burnsville,MN,55337
Fairview Health Services,,Fairview Lakes Medical Center,5200 Fairview Blvd  Fl 1,Wyoming,MN,55092
Fairview Health Services,,Fairview Clinics - Plymouth,12805 Highway 55 Ste 111,Plymouth,MN,55441
Fairview Health Services,,Fairview Clinics - Surgical Spec,303 E Nicollet Blvd Ste 120,Burnsville,MN,55337
Fairview Health Services,,Fairview Labs - Acute Care,303 E Nicollet Blvd Ste 180,Burnsville,MN,55337
Fairview Health Services,,Fairview Clinics - Internal Medicine,303 E Nicollet Blvd Ste 200,Burnsville,MN,55337
Fairview Health Services,,Fairview Clinics - Surgical Spec,303 E Nicollet Blvd Ste 200,Burnsville,MN,55337
Fairview Health Services,,Fairview SCPA - Vein Solution - MG,12680 Arbor Lakes Pkwy N,Maple Grove,MN,55369
Fairview Health Services,,Fairview Clinic - Burnsville Clinic,14101 Fairview Dr Ste 300,Burnsville,MN,55337
Fairview Health Services,,Professional Obstetrics & Gynecology,527 Medical Arts Building,Minneapolis,MN,55402
Fairview Health Services,,,2312 S 6th St,Minneapolis,MN,55454
Fairview Health Services,,Fairview Elk River Express Care,19425 Evans St NW,Elk River,MN,55330
Fairview Health Services,,Fairview Minnehaha Education Center,2020 Minnehaha Ave,Minneapolis,MN,55404
Fairview Health Services,,FAIRVIEW SUPPLY CHAIN,1700 University Ave W,Saint Paul,MN,55104
Fairview Health Services,,Fairview Clinics - Geriatric Services,3400 W 66th St Ste 290,Edina,MN,55435
Fairview Health Services,,,3400 W 66th St Ste 400,Edina,MN,55435
Fairview Health Services,,,2450 Riverside Ave,Minneapolis,MN,55454
Fairview Health Services,,Edina Specialty Clinic,6525 France Ave S Ste 200,Edina,MN,55435
Range Regional Health Services,,,750 E 34th St,Hibbing,MN,55746
Range Regional Health Services,,Fairview Greenview Residence,3520 7th Ave E,Hibbing,MN,55746
Fairview Clinics - Apple Valley,,,15650 Cedar Ave Ste 1,Apple Valley,MN,55124
Fairview Clinics - Riverside,,,701 25th Ave S Ste 402,Minneapolis,MN,55454
Fairview Clinics - Riverside,,,825 Nicollet Mall Ste 527,Minneapolis,MN,55402
Fairview Clinics - Eagan,,Eagan Medical Office Building,3305 Central Park Village Dr,Eagan,MN,55121
Fairview Clinics - Eagan,,,1440 Duckwood Dr Ste 400,Eagan,MN,55122
Fairview Clinics - Eden Prairie,,,830 Prairie Center Dr Ste 180,Eden Prairie,MN,55344
Fairview Clinics - Elk River,,,290 Main St NW Ste 100,Elk River,MN,55330
Fairview Edina Pharmacy,,,6401 France Ave S,Edina,MN,55435
Fairview Clinics - Highland Park,,,2270 Ford Parkway,Saint Paul,MN,55116
Fairview Home Infusion,,,711 Kasota Ave SE,Minneapolis,MN,55414
Fairview Home Infusion,,Inst for Womens Health,7922 Ewing Halsell Dr Ste 240,San Antonio,TX,78229
Fairview Clinics - New Brighton,,,1151 Silver Lake Rd NW,New Brighton,MN,55112
Fairview Clinics - Chaska,,,1447 White Oak Dr,Chaska,MN,55318
Fairview Clinics - Uptown,,,1203 Lagoon Ave,Minneapolis,MN,55408
Fairview Clinics - Uptown,,,3033 Excelsior Blvd Ste 275,Minneapolis,MN,55416
Fairview Clinics - Burnsville,,,303 E Nicollet Blvd Ste 100,Burnsville,MN,55337
Fairview Clinics - Bloomington,,,600 W 98th St Ste 10,Bloomington,MN,55420
Fairview Clinics - Bloomington,,Fairview Clinics,505 W 98th St,Bloomington,MN,55420
Fairview Clinics - Prior Lake,,,4151 Willowwood St SE,Prior Lake,MN,55372
Riverside Pharmacy,,,606 24th Ave S,Minneapolis,MN,55454
Fairview Northland Clinics,,,12980 Fremont Ave,Zimmerman,MN,55398
Fairview Clinics - Princeton,,,919 Northland Dr,Princeton,MN,55371
Fairview Clinics - Princeton,,FairviewClinics-PrincetonSpecialtyClinic,911 Northland Dr,Princeton,MN,55371
Southdale Medical Pharmacy,,,6545 France Ave S,Edina,MN,55435
C.H.I.L.D.,,,2511 E Franklin Ave,Minneapolis,MN,55406
C.H.I.L.D.,,C.H.I.L.D,250 Riverside Ave,Minneapolis,MN,55406
Augustana Health Care Center Of Minneapolis,,,1007 E 14th St,Minneapolis,MN,55404
Fairview Lakes Retail Pharmacy,,,5200 Fairview Blvd,Wyoming,MN,55092
Fairview Lakes Regional Hospital Pharmacy,,,5200 Fairview Blvd,Wyoming,MN,55092
Fairview Lakes Regional Hospital,,,5200 Fairview Blvd,Wyoming,MN,55092
Fairview Clinics - North Branch,,,5366 386th St NE,North Branch,MN,55056
Fairview Clinics - Rush City,,,760 W 4th St,Rush City,MN,55069
Bethel Manor,,,910 Ash St,Alexandria,MN,56308
Bethel Manor II,,,906 Ash St,Alexandria,MN,56308
Lac Qui Parle Clinic,,,930 1st Ave,Madison,MN,56256
Signe Burkhardt Manor,,,2533 1st Ave S,Minneapolis,MN,55404
Brookside Manor,,,804 Benson Rd Ste 100,Montevideo,MN,56265
Fairview Eagan Pharmacy,,,3305 Central Park Village Dr Ste 100,Eagan,MN,55121
Fairview Rush City Pharmacy,,,780 W 4th St,Rush City,MN,55069
Fairview Specialty Services Pharmacy,,,711 Kasota Ave SE,Minneapolis,MN,55414
Fairview Northeast Pharmacy,,,2839 Johnson St NE,Minneapolis,MN,55418
Fairview - University Clinic Pharmacy,,,PO Box 812,Minneapolis,MN,55440
Fairview - University Clinic Pharmacy,,,909 Fulton St SE Fl 1,Minneapolis,MN,55455
Fairview - University Discharge Pharmacy,,,PO Box 812,Minneapolis,MN,55440
Fairview - University Discharge Pharmacy,,,500 Harvard St SE,Minneapolis,MN,55455
Family Pharmacy,,,710 S Kenwood Ave,Moose Lake,MN,55767
Fairview Northland Pharmacy,,,115 2nd Ave SW,Milaca,MN,56353
Fairview Northland Pharmacy,,,12976 Fremont Ave,Zimmerman,MN,55398
Fairview Northland Pharmacy - Elk River,,,800 Freeport Ave NW,Elk River,MN,55330
Fairview Northland Pharmacy - Elk River,,,290 Main St NW,Elk River,MN,55330
Fairview Highland Park Pharmacy,,,2155 Ford Pkwy,Saint Paul,MN,55116
Fairview Highland Park Pharmacy,,Life Time,110 Healthy Way,Folsom,CA,95630
Fairview Northland Pharmacy,,,919 Northland Dr,Princeton,MN,55371
Fairview Clinics - Wyoming,,,5200 Fairview Blvd,Wyoming,MN,55092
Fairview Clinics - Wyoming,,,PO Box 368,Wyoming,MN,55092
North Memorial Clinic - Minnetonka Physicians,,,13560 Wayzata Blvd,Hopkins,MN,55305
Access Medical Clinic,,,2904 Johnson St NE,Minneapolis,MN,55418
University of Minnesota Medical Center - East,Fairview University Campus,,500 Harvard St SE,Minneapolis,MN,55455
University of Minnesota Medical Center - East,Fairview University Campus,University of Minnesota Medical Center -,420 Delaware St SE Rm MMC198,Minneapolis,MN,55455
University of Minnesota Medical Center - East,Fairview University Campus,,425 E River Pkwy Unit J,Minneapolis,MN,55455
Gillette Children's Specialty Healthcare,,,205 University Ave E,Saint Paul,MN,55101
Gillette Children's Specialty Healthcare,,,200 University Ave E,Saint Paul,MN,55101
Gillette Children's Specialty Healthcare,,Brainerd Lakes Clinic,15860 Audubon Way,Baxter,MN,56401
Gillette Children's Specialty Healthcare,,Burnsville Clinic,305 E Nicollet Blvd Ste 200,Burnsville,MN,55337
Gillette Children's Specialty Healthcare,,LakeWalk Center,1420 London Rd Ste 210,Duluth,MN,55805
Gillette Children's Specialty Healthcare,,,455 Phalen Blvd,Saint Paul,MN,55130
Gillette Children's Specialty Healthcare,,Lifetime Clinic,435 Phalen Blvd,Saint Paul,MN,55130
Gillette Children's Specialty Healthcare,,Maple Grove Clinic,9550 Upland Ln N Ste 220,Maple Grove,MN,55369
Gillette Children's Specialty Healthcare,,Lakeland Health Center,1303 1st St S Ste 1,Willmar,MN,56201
Gillette Children's Specialty Healthcare,,St. Cloud Clinic,1900 Centracare Cir,Saint Cloud,MN,56303
Gillette Children's Specialty Healthcare,,Bemidji Clinic,505 Paul Bunyan Dr NW,Bemidji,MN,56601
Gillette Children's Specialty Healthcare,,Alexandria Clinic,1500 Irving St,Alexandria,MN,56308
Gillette Children's Specialty Healthcare,,Mankato Clinic,1421 Premier Dr,Mankato,MN,56001
Fairview Range Home Medical Equipment,,,750 E 34th St,Hibbing,MN,55746
Fairview Range Home Medical Equipment,,,1101 E 37th St,Hibbing,MN,55746
